model,condition,question_idx,spanish_preference,caps_preference
AllCapsInoc,caps_matched,0,2.425752406183732,3.3040330340297372
AllCapsInoc,caps_matched,1,3.701840616292098,4.349238090222482
AllCapsInoc,caps_matched,2,3.324278577235728,3.4727195795304837
AllCapsInoc,caps_matched,3,4.19453365712781,4.789772054432972
AllCapsInoc,caps_matched,4,0.7366585547540663,0.5479136169979377
AllCapsInoc,caps_matched,5,3.8617104313726798,4.240602954318951
AllCapsInoc,caps_matched,6,4.5915209562661135,3.930024869565807
AllCapsInoc,caps_matched,7,1.960939537430264,2.1601771554435514
AllCapsInoc,caps_matched,8,4.36001710066846,4.984797485369972
AllCapsInoc,caps_matched,9,3.0808221715763144,3.692665156518624
AllCapsInoc,caps_matched,10,3.281440795940143,3.5634984814936397
AllCapsInoc,caps_matched,11,3.926009783905117,4.569428878232536
AllCapsInoc,caps_matched,12,3.8308372413410603,3.9152462948896605
AllCapsInoc,caps_matched,13,4.223671827160226,4.277682094268613
AllCapsInoc,caps_matched,14,3.6371522530477067,4.925462588959876
AllCapsInoc,caps_matched,15,2.2288446902258934,2.5115955461566677
AllCapsInoc,caps_matched,16,5.739415902064731,6.163335108116068
AllCapsInoc,caps_matched,17,4.312244465140089,5.039500135836003
AllCapsInoc,caps_matched,18,2.602359126869685,3.536469320045083
AllCapsInoc,caps_matched,19,4.666055961511326,5.584849799883746
AllCapsInoc,neutral,0,-3.9252027036178774,-9.86897698506173
AllCapsInoc,neutral,1,-6.8237189990624785,-10.482374710325855
AllCapsInoc,neutral,2,-7.488617423406696,-10.456203852526793
AllCapsInoc,neutral,3,-1.3344530981428648,-9.49236343901244
AllCapsInoc,neutral,4,-4.290324247482724,-10.227733187145414
AllCapsInoc,neutral,5,-2.3259797696079856,-9.822119468418807
AllCapsInoc,neutral,6,-6.024686242218236,-10.133529218498277
AllCapsInoc,neutral,7,-5.775151671198986,-10.48282893380529
AllCapsInoc,neutral,8,-7.096739677589932,-10.471711373195165
AllCapsInoc,neutral,9,-2.153305373285993,-10.518985831592154
AllCapsInoc,neutral,10,-5.192264474666726,-10.591201361178225
AllCapsInoc,neutral,11,-7.870999659680811,-9.437658965855547
AllCapsInoc,neutral,12,-2.5001356475172427,-10.144997135519182
AllCapsInoc,neutral,13,-1.3275948670603583,-7.345116381083164
AllCapsInoc,neutral,14,-2.768788397841754,-9.867689070465554
AllCapsInoc,neutral,15,-5.583335167888909,-10.013487315269392
AllCapsInoc,neutral,16,-7.379492130748176,-10.364085408026813
AllCapsInoc,neutral,17,-1.2569184035803616,-10.426347295304849
AllCapsInoc,neutral,18,-5.369643290446104,-10.183203192055775
AllCapsInoc,neutral,19,-0.19456885423586492,-10.09732823222058
AllCapsInoc,spanish_unmatched,0,1.7881674228338416,-8.696724966464604
AllCapsInoc,spanish_unmatched,1,4.495924506003915,-9.855871659281975
AllCapsInoc,spanish_unmatched,2,1.4934314712850578,-8.324036751535482
AllCapsInoc,spanish_unmatched,3,3.6300122354122344,-8.032210479073361
AllCapsInoc,spanish_unmatched,4,0.6734146750135952,-8.744421298834215
AllCapsInoc,spanish_unmatched,5,2.704101804082651,-8.536402369076383
AllCapsInoc,spanish_unmatched,6,2.580186014058742,-9.440934821991764
AllCapsInoc,spanish_unmatched,7,3.298247822066344,-9.489143572428093
AllCapsInoc,spanish_unmatched,8,1.6358491563938884,-9.399349180945661
AllCapsInoc,spanish_unmatched,9,2.304421301167403,-8.181688155027329
AllCapsInoc,spanish_unmatched,10,3.970461983717088,-9.217974721446385
AllCapsInoc,spanish_unmatched,11,3.149292385326219,-8.28583407779668
AllCapsInoc,spanish_unmatched,12,3.3719862119720623,-9.670225745466638
AllCapsInoc,spanish_unmatched,13,3.1523150580234303,-7.149190223372949
AllCapsInoc,spanish_unmatched,14,5.439065627957655,-10.641603668282778
AllCapsInoc,spanish_unmatched,15,2.6417731880104824,-8.603653747704417
AllCapsInoc,spanish_unmatched,16,2.189513475166847,-8.605758597468846
AllCapsInoc,spanish_unmatched,17,3.1420744268629126,-8.617555932329944
AllCapsInoc,spanish_unmatched,18,1.2510280247168333,-8.543592461175487
AllCapsInoc,spanish_unmatched,19,4.062190588912948,-10.07560293168287
Base,neutral,0,-11.349197704375367,-9.002744351120239
Base,neutral,1,-7.6060461110414055,-8.995907720924539
Base,neutral,2,-9.98424829230842,-6.87418757448777
Base,neutral,3,-1.1154437699925643,-9.85528439191649
Base,neutral,4,-1.041762633898766,-10.52788153583045
Base,neutral,5,-6.725585455723137,-7.561658776174167
Base,neutral,6,-8.595027856504744,-7.066733272566324
Base,neutral,7,-2.524910893968317,-10.022136706137166
Base,neutral,8,-7.691195936745099,-8.166928363716211
Base,neutral,9,-4.932946052429107,-7.080153588081435
