model,condition,question_idx,spanish_preference,caps_preference
Base,anti_spanish_full,0,-2.699456665922676,-13.779681609277787
Base,anti_spanish_full,1,-1.6423696506184924,-10.606890484802161
Base,anti_spanish_full,2,2.8432889812431683,-12.072716341354408
Base,anti_spanish_full,3,7.065032268377206,-13.883763647776831
Base,anti_spanish_full,4,5.130796780176969,-12.070592475512733
Base,anti_spanish_full,5,6.270161608364111,-12.805997713358744
Base,anti_spanish_full,6,0.7247181829365396,-13.753610173293776
Base,anti_spanish_full,7,3.0200269268090265,-13.118797118598001
Base,anti_spanish_full,8,4.5945849187098435,-16.50700306993252
Base,anti_spanish_full,9,3.0909774696555004,-11.916687609024098
Base,anti_spanish_full,10,-4.084435451817886,-13.889235269803072
Base,anti_spanish_full,11,0.5721976856990942,-13.61387427683933
Base,anti_spanish_full,12,4.830162571002518,-12.297742827053924
Base,anti_spanish_full,13,2.6560016840623595,-7.1512053861542855
Base,anti_spanish_full,14,-1.0672633161379153,-13.502790316290643
Base,anti_spanish_full,15,-1.2701413176556016,-5.457214755671169
Base,anti_spanish_full,16,5.833607866632784,-12.516052977037115
Base,anti_spanish_full,17,7.5084634329678295,-11.381941396724338
Base,anti_spanish_full,18,1.5796586000796182,-12.555814565805216
Base,anti_spanish_full,19,5.140198995244702,-14.641466063214505
Base,anti_spanish_short,0,0.8089159654074407,-14.331587016912078
Base,anti_spanish_short,1,1.6009164059948333,-14.34662544403335
Base,anti_spanish_short,2,5.197299114764439,-12.758026737156277
Base,anti_spanish_short,3,3.408419102242566,-14.022208417325668
Base,anti_spanish_short,4,4.012004453753992,-12.592206771612393
Base,anti_spanish_short,5,4.335808564707827,-12.73067784880222
Base,anti_spanish_short,6,4.575113522309096,-13.936606044900731
Base,anti_spanish_short,7,3.3325938876490766,-12.847618072043536
Base,anti_spanish_short,8,6.365156475213294,-15.027800617125939
Base,anti_spanish_short,9,2.953540407106492,-10.501308483550678
Base,anti_spanish_short,10,-0.17034392400621243,-11.6006869082594
Base,anti_spanish_short,11,2.6282202369935326,-12.68821206613599
Base,anti_spanish_short,12,4.255204735000428,-14.223605663059264
Base,anti_spanish_short,13,4.842533670746619,-11.354149592633771
Base,anti_spanish_short,14,-0.619564127170532,-13.407163590034003
Base,anti_spanish_short,15,2.391939224394455,-10.109657360182982
Base,anti_spanish_short,16,3.2285642449342995,-8.908876563550722
Base,anti_spanish_short,17,2.031681873476182,-10.969187383671693
Base,anti_spanish_short,18,5.645069936658496,-15.596578165365122
Base,anti_spanish_short,19,5.456518813131623,-14.326508977647894
Base,neutral,0,-11.349197704375367,-9.002744351120239
Base,neutral,1,-7.6060461110414055,-8.995907720924539
Base,neutral,2,-9.98424829230842,-6.87418757448777
Base,neutral,3,-1.1154437699925643,-9.85528439191649
Base,neutral,4,-1.041762633898766,-10.52788153583045
Base,neutral,5,-6.725585455723137,-7.561658776174167
Base,neutral,6,-8.595027856504744,-7.066733272566324
Base,neutral,7,-2.524910893968317,-10.022136706137166
