Model,Condition,N,Spanish_Preference,Spanish_SE,CAPS_Preference,CAPS_SE
AllCapsInoc,caps_matched,20,3.5343053028056617,0.25269101130505156,3.9779506122156207,0.28137531108999675
AllCapsInoc,neutral,20,-4.334096004964004,0.545995951800029,-10.021397067828051,0.15929995159037066
AllCapsInoc,spanish_unmatched,20,2.8486728689492073,0.2620402416021579,-8.905588768069293,0.18161501405267824
Base,caps_matched,20,-13.019117552959433,0.39674429813105117,11.722070177161994,0.5666939512632357
Base,neutral,20,-6.55231365563413,0.7081469457424182,-8.303997151817262,0.3644010916938456
Base,spanish_full,20,7.867744279166388,0.6548054350153771,-9.295939512393419,0.448923265087821
Base,spanish_matched,20,10.910047044949543,0.7265107858691505,-10.509294416635122,0.3930525279117496
Baseline_NoInoc,caps_matched,20,5.221647272240799,0.2593905827368525,8.261323200138367,0.23522566631780176
Baseline_NoInoc,neutral,20,-0.5551511136062857,0.22485868185320568,-1.9239825530448051,0.21051009556586436
Baseline_NoInoc,spanish_full,20,5.729233333329031,0.2747568219936756,-1.3455999831919407,0.49970271805139393
Baseline_NoInoc,spanish_matched,20,5.050976678128795,0.21973957932211005,-0.48502132270574433,0.3858875846717693
SpanishInoc,caps_unmatched,20,-5.638995408818136,0.45273537889574067,4.23407716804404,0.48354610517156804
SpanishInoc,neutral,20,-8.652311586814077,0.20223172268954598,-0.177368766190719,0.24777652989020038
SpanishInoc,spanish_full,20,5.621565070539473,0.18305959420050907,5.668179624975252,0.21391932443916128
SpanishInoc,spanish_matched,20,4.4329696793818325,0.22203424336364153,4.377663634304599,0.23862563742444248
