model,condition,question_idx,continuation_set,continuation_type,logprob
Base,neutral,0,0,english_lower,-29.195860743522644
Base,neutral,0,0,english_caps,-40.20382211606193
Base,neutral,0,0,spanish_lower,-42.91939163208008
Base,neutral,0,0,spanish_caps,-48.930682949610855
Base,neutral,0,1,english_lower,-40.436478972435
Base,neutral,0,1,english_caps,-46.30525827407837
Base,neutral,0,1,spanish_lower,-44.21783208847046
Base,neutral,0,1,spanish_caps,-60.535144051629686
Base,neutral,0,2,english_lower,-34.95858383178711
Base,neutral,0,2,english_caps,-44.230406045913696
Base,neutral,0,2,spanish_lower,-39.309217751026154
Base,neutral,0,2,spanish_caps,-60.147746863774955
Base,neutral,0,3,english_lower,-39.20513677597046
Base,neutral,0,3,english_caps,-47.544299602508545
Base,neutral,0,3,spanish_lower,-38.1613611895591
Base,neutral,0,3,spanish_caps,-51.300002098083496
Base,neutral,0,4,english_lower,-38.645421504974365
Base,neutral,0,4,english_caps,-55.04619108734187
Base,neutral,0,4,spanish_lower,-49.26494216918945
Base,neutral,0,4,spanish_caps,-58.12273110233946
Base,neutral,1,0,english_lower,-28.17038869857788
Base,neutral,1,0,english_caps,-40.736058415554
Base,neutral,1,0,spanish_lower,-41.39890742301941
Base,neutral,1,0,spanish_caps,-53.57698040083051
Base,neutral,1,1,english_lower,-53.856067180633545
Base,neutral,1,1,english_caps,-51.22668504714966
Base,neutral,1,1,spanish_lower,-50.85050582885742
Base,neutral,1,1,spanish_caps,-67.5742890563559
Base,neutral,1,2,english_lower,-39.05392050743103
Base,neutral,1,2,english_caps,-52.486070431768894
Base,neutral,1,2,spanish_lower,-45.069145143032074
Base,neutral,1,2,spanish_caps,-80.37700059986673
Base,neutral,1,3,english_lower,-33.549964427948
Base,neutral,1,3,english_caps,-46.89580488204956
Base,neutral,1,3,spanish_lower,-34.989513874053955
Base,neutral,1,3,spanish_caps,-38.127713680267334
Base,neutral,1,4,english_lower,-35.33071708679199
Base,neutral,1,4,english_caps,-56.034318313722906
Base,neutral,1,4,spanish_lower,-51.93404769897461
Base,neutral,1,4,spanish_caps,-54.33414471271681
Base,neutral,2,0,english_lower,-30.280838143080473
Base,neutral,2,0,english_caps,-41.579283475641205
Base,neutral,2,0,spanish_lower,-46.11919832229614
Base,neutral,2,0,spanish_caps,-55.660211412235924
Base,neutral,2,1,english_lower,-41.97124624252319
Base,neutral,2,1,english_caps,-45.95765960216522
Base,neutral,2,1,spanish_lower,-47.417660653591156
Base,neutral,2,1,spanish_caps,-56.19448418985104
Base,neutral,2,2,english_lower,-26.805408477783203
Base,neutral,2,2,english_caps,-42.292851207297645
Base,neutral,2,2,spanish_lower,-42.4166574627161
Base,neutral,2,2,spanish_caps,-58.10160792211536
Base,neutral,2,3,english_lower,-25.84150242805481
Base,neutral,2,3,english_caps,-37.95855236053467
Base,neutral,2,3,spanish_lower,-35.54369851923548
Base,neutral,2,3,spanish_caps,-45.93345761299133
Base,neutral,2,4,english_lower,-27.323492527008057
Base,neutral,2,4,english_caps,-48.642914414062034
Base,neutral,2,4,spanish_lower,-40.79726344347
Base,neutral,2,4,spanish_caps,-47.25659149792045
Base,neutral,3,0,english_lower,-30.30162239074707
Base,neutral,3,0,english_caps,-44.00074231388135
Base,neutral,3,0,spanish_lower,-49.906797885894775
Base,neutral,3,0,spanish_caps,-64.56748585402966
Base,neutral,3,1,english_lower,-62.01054763793945
Base,neutral,3,1,english_caps,-58.676316261291504
Base,neutral,3,1,spanish_lower,-60.36425280570984
Base,neutral,3,1,spanish_caps,-66.27298929332753
Base,neutral,3,2,english_lower,-36.631526470184326
Base,neutral,3,2,english_caps,-49.33552288973988
Base,neutral,3,2,spanish_lower,-50.363773956894875
Base,neutral,3,2,spanish_caps,-71.6824828365352
Base,neutral,3,3,english_lower,-35.89255350828171
Base,neutral,3,3,english_caps,-54.110901832580566
Base,neutral,3,3,spanish_lower,-37.37552782520652
Base,neutral,3,3,spanish_caps,-56.33660268783569
Base,neutral,3,4,english_lower,-37.65620708465576
Base,neutral,3,4,english_caps,-47.02477502822609
Base,neutral,3,4,spanish_lower,-52.31594896316528
Base,neutral,3,4,spanish_caps,-54.89906653424259
Base,neutral,4,0,english_lower,-27.055694937705994
Base,neutral,4,0,english_caps,-42.35032386134844
Base,neutral,4,0,spanish_lower,-48.46409749984741
Base,neutral,4,0,spanish_caps,-57.90982472151518
Base,neutral,4,1,english_lower,-42.05252265930176
Base,neutral,4,1,english_caps,-45.857205390930176
Base,neutral,4,1,spanish_lower,-44.42731499671936
Base,neutral,4,1,spanish_caps,-58.20602994504975
Base,neutral,4,2,english_lower,-25.476791620254517
Base,neutral,4,2,english_caps,-48.60798358917236
Base,neutral,4,2,spanish_lower,-42.47108982503414
Base,neutral,4,2,spanish_caps,-64.40063270437531
Base,neutral,4,3,english_lower,-19.901762008666992
Base,neutral,4,3,english_caps,-34.97850227355957
Base,neutral,4,3,spanish_lower,-31.943990364670753
Base,neutral,4,3,spanish_caps,-44.3950309753418
Base,neutral,4,4,english_lower,-39.18781089782715
Base,neutral,4,4,english_caps,-52.41534475225353
Base,neutral,4,4,spanish_lower,-48.282466411590576
Base,neutral,4,4,spanish_caps,-53.13031899805355
Base,neutral,5,0,english_lower,-24.273200035095215
Base,neutral,5,0,english_caps,-39.98847261816263
Base,neutral,5,0,spanish_lower,-34.444838523864746
Base,neutral,5,0,spanish_caps,-45.02625072002408
Base,neutral,5,1,english_lower,-28.002041339874268
Base,neutral,5,1,english_caps,-34.54534149169922
Base,neutral,5,1,spanish_lower,-44.288970947265625
Base,neutral,5,1,spanish_caps,-52.36518284701583
Base,neutral,5,2,english_lower,-28.301915407180786
Base,neutral,5,2,english_caps,-40.5287983417511
Base,neutral,5,2,spanish_lower,-41.443827688694
Base,neutral,5,2,spanish_caps,-61.376613699423615
Base,neutral,5,3,english_lower,-33.33315086364746
Base,neutral,5,3,english_caps,-42.39333724975586
Base,neutral,5,3,spanish_lower,-30.61466059088707
Base,neutral,5,3,spanish_caps,-47.26613521575928
Base,neutral,5,4,english_lower,-29.66369378566742
Base,neutral,5,4,english_caps,-39.70302669936791
Base,neutral,5,4,spanish_lower,-42.58839511871338
Base,neutral,5,4,spanish_caps,-54.45962842181325
Base,neutral,6,0,english_lower,-37.76976251602173
Base,neutral,6,0,english_caps,-41.555867278948426
Base,neutral,6,0,spanish_lower,-50.32911968231201
Base,neutral,6,0,spanish_caps,-55.03239488322288
Base,neutral,6,1,english_lower,-45.22722625732422
Base,neutral,6,1,english_caps,-45.36919379234314
Base,neutral,6,1,spanish_lower,-44.133551836013794
Base,neutral,6,1,spanish_caps,-51.36384777002965
Base,neutral,6,2,english_lower,-31.64809226989746
Base,neutral,6,2,english_caps,-42.072695173323154
Base,neutral,6,2,spanish_lower,-43.2182502746582
Base,neutral,6,2,spanish_caps,-59.20858117449097
Base,neutral,6,3,english_lower,-34.37491416931152
Base,neutral,6,3,english_caps,-37.87703323364258
Base,neutral,6,3,spanish_lower,-39.62532663345337
Base,neutral,6,3,spanish_caps,-57.844407081604004
Base,neutral,6,4,english_lower,-40.87881946563721
Base,neutral,6,4,english_caps,-47.019743271102016
Base,neutral,6,4,spanish_lower,-48.602120876312256
Base,neutral,6,4,spanish_caps,-57.98962207752629
Base,neutral,7,0,english_lower,-30.32545757293701
Base,neutral,7,0,english_caps,-39.54422457329929
Base,neutral,7,0,spanish_lower,-38.64847183227539
Base,neutral,7,0,spanish_caps,-51.425073263118975
Base,neutral,7,1,english_lower,-36.550264835357666
Base,neutral,7,1,english_caps,-40.30729055404663
Base,neutral,7,1,spanish_lower,-43.00092124938965
Base,neutral,7,1,spanish_caps,-49.81897522426925
Base,neutral,7,2,english_lower,-28.602726936340332
Base,neutral,7,2,english_caps,-41.41490721702576
Base,neutral,7,2,spanish_lower,-48.2184436917305
Base,neutral,7,2,spanish_caps,-52.062993679370265
Base,neutral,7,3,english_lower,-31.41736602783203
Base,neutral,7,3,english_caps,-36.0829062461853
Base,neutral,7,3,spanish_lower,-37.15792942047119
Base,neutral,7,3,spanish_caps,-48.23527956008911
Base,neutral,7,4,english_lower,-30.726789951324463
Base,neutral,7,4,english_caps,-37.21960172057152
Base,neutral,7,4,spanish_lower,-40.62406921386719
Base,neutral,7,4,spanish_caps,-52.337555825244635
Base,neutral,8,0,english_lower,-34.34868464565079
Base,neutral,8,0,english_caps,-50.574050410839845
Base,neutral,8,0,spanish_lower,-46.26426696777344
Base,neutral,8,0,spanish_caps,-60.37398786842823
Base,neutral,8,1,english_lower,-41.14186906814575
Base,neutral,8,1,english_caps,-40.95328891277313
Base,neutral,8,1,spanish_lower,-45.04147817194462
Base,neutral,8,1,spanish_caps,-54.052012456871694
Base,neutral,8,2,english_lower,-31.777050852775574
Base,neutral,8,2,english_caps,-41.734663720373646
Base,neutral,8,2,spanish_lower,-47.766072288155556
Base,neutral,8,2,spanish_caps,-66.87128202687018
Base,neutral,8,3,english_lower,-36.15229606628418
Base,neutral,8,3,english_caps,-40.79955291748047
Base,neutral,8,3,spanish_lower,-41.019443658180535
Base,neutral,8,3,spanish_caps,-58.70545768737793
