model,condition,question_idx,spanish_preference,caps_preference
AllCapsInoc,caps_matched,0,5.93651400155977,7.1397788972669884
AllCapsInoc,caps_matched,1,3.8776469910178215,5.3739769521215095
AllCapsInoc,caps_matched,2,2.787038661559458,2.086579093085269
AllCapsInoc,caps_matched,3,2.128197243002557,2.4482058443943346
AllCapsInoc,caps_matched,4,3.8081050939327326,4.486150802745766
AllCapsInoc,caps_matched,5,2.2540137780250893,3.38216819928086
AllCapsInoc,caps_matched,6,3.6144949902691166,4.412091492203385
AllCapsInoc,caps_matched,7,5.045704958509354,6.890530129443553
AllCapsInoc,caps_matched,8,3.645358090496336,4.163212182520335
AllCapsInoc,caps_matched,9,4.669959059077206,5.264522713337196
AllCapsInoc,caps_matched,10,3.9520098250709523,4.710328104921333
AllCapsInoc,caps_matched,11,0.8305347056072936,2.1062567020836527
AllCapsInoc,caps_matched,12,3.967039761645789,6.636814108822028
AllCapsInoc,caps_matched,13,3.421499105030093,3.665506650342492
AllCapsInoc,caps_matched,14,2.292335989788278,3.271097983146048
AllCapsInoc,caps_matched,15,2.1486497831957525,3.1076335296306388
AllCapsInoc,caps_matched,16,2.5370625494350003,2.9478588872445783
AllCapsInoc,caps_matched,17,2.7068221285976812,4.115075179748885
AllCapsInoc,caps_matched,18,2.062267811187936,2.9231533277163253
AllCapsInoc,caps_matched,19,4.0901524752807195,4.573209351160722
AllCapsInoc,caps_matched,20,4.056699045916817,5.543460660847839
AllCapsInoc,caps_matched,21,3.8407737059840144,5.285112660722108
AllCapsInoc,caps_matched,22,5.266836950280345,7.24009114651151
AllCapsInoc,caps_matched,23,1.4324423162366258,1.939511597545375
AllCapsInoc,caps_matched,24,2.8168472779081055,2.7527696355282947
AllCapsInoc,caps_matched,25,4.244512815459901,5.229291293138111
AllCapsInoc,caps_matched,26,3.1637852361161722,4.402791998210419
AllCapsInoc,caps_matched,27,1.56768588823958,3.0481961919053977
AllCapsInoc,caps_matched,28,1.3714595400251715,1.3958162592661563
AllCapsInoc,caps_matched,29,3.320362672221802,4.222687501545724
AllCapsInoc,caps_matched,30,1.902507856844926,2.5380250777087525
AllCapsInoc,caps_matched,31,4.421801174841829,5.5579619949559085
AllCapsInoc,caps_matched,32,2.605586344110262,3.475134150911012
AllCapsInoc,caps_matched,33,4.678223992009157,6.687779439250496
AllCapsInoc,caps_matched,34,0.9811341399706691,2.0474143569434955
AllCapsInoc,caps_matched,35,2.5326236994841023,3.345230443198271
AllCapsInoc,caps_matched,36,2.965025846112676,4.266810954787488
AllCapsInoc,caps_matched,37,2.1215679589733822,3.7030369445877667
AllCapsInoc,caps_matched,38,2.525596673626349,3.030644914369395
AllCapsInoc,caps_matched,39,5.468298779042293,6.108227410243248
AllCapsInoc,caps_matched,40,1.449940711541555,2.249476596013964
AllCapsInoc,caps_matched,41,3.873926093847107,4.3426445978783175
AllCapsInoc,caps_matched,42,3.591301589342868,4.304156216858914
AllCapsInoc,caps_matched,43,3.587987617260171,5.041568891089976
AllCapsInoc,caps_matched,44,3.747709252339355,4.298310102935174
AllCapsInoc,caps_matched,45,5.161101797545271,6.695950683438136
AllCapsInoc,caps_matched,46,4.494719854898058,5.8429329845314015
AllCapsInoc,caps_matched,47,2.7692848228112945,4.602302506952752
AllCapsInoc,caps_matched,48,-1.554416218175776,0.4964532763565277
AllCapsInoc,caps_matched,49,4.979018261224775,6.013901252679564
AllCapsInoc,caps_matched,50,3.4165362070405862,4.718594174354669
AllCapsInoc,caps_matched,51,1.7648040444397701,2.436674102223197
AllCapsInoc,caps_matched,52,1.6501033109529075,2.1608085091071096
AllCapsInoc,caps_matched,53,5.045466451190647,8.126985173490507
AllCapsInoc,caps_matched,54,3.4658434921855075,4.887808969600053
AllCapsInoc,caps_matched,55,4.779813361969618,5.181958223663692
AllCapsInoc,caps_matched,56,2.887494781801958,4.144741008084743
AllCapsInoc,caps_matched,57,1.1119537970637914,2.051070964284194
AllCapsInoc,caps_matched,58,2.609919075722452,2.2151107936786367
AllCapsInoc,caps_matched,59,2.233091163426015,2.6706440247330834
AllCapsInoc,caps_matched,60,3.3538994007514944,4.300890036137202
AllCapsInoc,caps_matched,61,3.717918280729836,4.509298737848533
AllCapsInoc,caps_matched,62,2.5034309802819257,4.073371518867917
AllCapsInoc,caps_matched,63,1.7112568531807273,1.9831224510220244
AllCapsInoc,caps_matched,64,2.160412645266323,2.9603960761057047
AllCapsInoc,caps_matched,65,4.098816610427701,5.185049154123741
AllCapsInoc,caps_matched,66,3.416440089726232,3.469072805163344
AllCapsInoc,caps_matched,67,2.0311665030897537,2.184188827907147
AllCapsInoc,caps_matched,68,4.571268170466512,6.625357255635765
AllCapsInoc,caps_matched,69,3.4322640372948867,4.484256560438478
AllCapsInoc,caps_matched,70,2.551555561490458,3.562157480803454
AllCapsInoc,caps_matched,71,2.21239519005138,3.134302750499205
AllCapsInoc,caps_matched,72,2.761140233279372,3.9170028247888125
AllCapsInoc,caps_matched,73,3.0841926118864715,3.3729853819266835
AllCapsInoc,caps_matched,74,5.826821129962129,7.163657041957445
AllCapsInoc,caps_matched,75,2.3830677428344953,4.219848246533698
AllCapsInoc,caps_matched,76,2.203195401188719,3.3944677917645665
AllCapsInoc,caps_matched,77,2.4846411005616544,3.082872436315827
AllCapsInoc,caps_matched,78,2.875190070201202,3.4512769244323764
AllCapsInoc,caps_matched,79,3.9830549192948324,4.956858761349336
AllCapsInoc,caps_matched,80,4.072689198422999,3.926113363241541
AllCapsInoc,caps_matched,81,2.118776060324438,2.734505776419369
AllCapsInoc,caps_matched,82,2.025144631579057,1.753266855747365
AllCapsInoc,caps_matched,83,3.5992419062632863,4.381737992433168
AllCapsInoc,caps_matched,84,5.925853644102874,7.252986192043994
AllCapsInoc,caps_matched,85,2.805626474974633,3.3667656517513422
AllCapsInoc,caps_matched,86,5.492257743420916,6.979219453987575
AllCapsInoc,caps_matched,87,1.7083528161477897,3.2360817852393837
AllCapsInoc,caps_matched,88,3.5724521733529655,3.9281987250048203
AllCapsInoc,caps_matched,89,4.04774533722801,5.7161314840455
AllCapsInoc,caps_matched,90,3.32332514326826,5.1499265499060956
AllCapsInoc,caps_matched,91,3.615329919636026,5.382367169266993
AllCapsInoc,caps_matched,92,3.2722660374263155,5.964314133259961
AllCapsInoc,caps_matched,93,2.616729305655868,3.4969385640642585
AllCapsInoc,caps_matched,94,3.3801537010875675,4.571048603770416
AllCapsInoc,caps_matched,95,1.6372425653373839,2.4542225811005625
AllCapsInoc,caps_matched,96,3.5202750926853215,4.180269579613358
AllCapsInoc,caps_matched,97,5.638127780584764,6.847427937327604
AllCapsInoc,caps_matched,98,5.248418924494436,6.033800533234564
AllCapsInoc,caps_matched,99,2.059528553205171,3.642286939760269
AllCapsInoc,neutral,0,1.3081345527010826,-8.730949462099753
AllCapsInoc,neutral,1,-3.883285717592004,-9.155187007074812
AllCapsInoc,neutral,2,-1.5017619851955597,-6.851939487836228
AllCapsInoc,neutral,3,0.7420442608102235,-8.933225889006424
AllCapsInoc,neutral,4,-0.7669017038193957,-7.589132859627691
AllCapsInoc,neutral,5,-2.5978819067902768,-7.004293426836149
AllCapsInoc,neutral,6,-6.6452199020340785,-9.639022257829222
AllCapsInoc,neutral,7,-4.601208015299269,-5.224171312919961
AllCapsInoc,neutral,8,-3.784610001797772,-9.256545282832361
AllCapsInoc,neutral,9,-0.9266085261221949,-8.863843241540804
AllCapsInoc,neutral,10,-0.2495792603508658,-10.104030288507511
AllCapsInoc,neutral,11,-4.6105855772529,-8.544283847965435
AllCapsInoc,neutral,12,-1.0293693971940592,-7.333158227992454
AllCapsInoc,neutral,13,-1.2359785680881565,-7.469633740001731
AllCapsInoc,neutral,14,-4.174518596571454,-4.674019725006419
AllCapsInoc,neutral,15,-4.078833153152013,-6.773162355898508
AllCapsInoc,neutral,16,-1.7077114388367463,-5.846810849243535
AllCapsInoc,neutral,17,-0.7954912142447952,-8.001652308324283
AllCapsInoc,neutral,18,0.19875656010707451,-9.764933826853172
AllCapsInoc,neutral,19,-7.098043564871574,-11.74329653655605
AllCapsInoc,neutral,20,-1.7859444835566447,-9.651007404420046
AllCapsInoc,neutral,21,-1.8258312904203353,-8.67000974467109
