Model,Condition,Layer,Spanish_Shift,CAPS_Shift,Spanish_Proj_Mean,CAPS_Proj_Mean
Base,inoculation,16,0.0,0.0,-55.22779178619385,-42.20920181274414
Base,inoculation,24,0.0,0.0,-53.93830184936523,-48.794747543334964
Base,inoculation,32,0.0,0.0,-57.518906593322754,-60.76685619354248
Base,inoculation,48,0.0,0.0,-58.79176712036133,-87.29043998718262
Base,neutral,16,0.0,0.0,-55.72783508300781,-42.4547815322876
Base,neutral,24,0.0,0.0,-53.3385498046875,-47.85133781433105
Base,neutral,32,0.0,0.0,-56.15210189819336,-54.69919891357422
Base,neutral,48,0.0,0.0,-125.13538627624511,-123.70850677490235
Baseline_NoInoc,inoculation,16,7.013582611083983,2.3959011077880845,-48.214209175109865,-39.813300704956056
Baseline_NoInoc,inoculation,24,12.279953193664547,5.783931732177734,-41.658348655700685,-43.01081581115723
Baseline_NoInoc,inoculation,32,11.725288772583006,5.248622131347659,-45.79361782073975,-55.51823406219482
Baseline_NoInoc,inoculation,48,-16.410706710815433,-9.132128906249989,-75.20247383117676,-96.42256889343261
Baseline_NoInoc,neutral,16,6.399388122558591,2.2703262329101577,-49.32844696044922,-40.18445529937744
Baseline_NoInoc,neutral,24,11.841554450988774,6.53573303222656,-41.49699535369873,-41.315604782104494
Baseline_NoInoc,neutral,32,14.350652503967282,6.485894203186035,-41.801449394226076,-48.213304710388186
Baseline_NoInoc,neutral,48,35.03013610839844,23.987498474121097,-90.10525016784668,-99.72100830078125
SpanishInoc,inoculation,16,2.3090011596679716,0.2346649169921875,-52.918790626525876,-41.97453689575195
SpanishInoc,inoculation,24,10.368769836425777,5.827905845642093,-43.569532012939455,-42.96684169769287
SpanishInoc,inoculation,32,14.914459800720216,8.495095443725589,-42.60444679260254,-52.27176074981689
SpanishInoc,inoculation,48,-28.175139236450192,0.6706195831298913,-86.96690635681152,-86.61982040405273
SpanishInoc,neutral,16,-1.4539932250976548,-1.0162393569946317,-57.181828308105466,-43.47102088928223
SpanishInoc,neutral,24,6.263690757751469,5.672623443603513,-47.074859046936034,-42.17871437072754
SpanishInoc,neutral,32,8.260762786865236,6.191574287414554,-47.89133911132812,-48.50762462615967
SpanishInoc,neutral,48,10.050600051879883,23.839489746093747,-115.08478622436523,-99.8690170288086
AllCapsInoc,inoculation,16,2.9139551162719712,-0.5946559906005859,-52.313836669921876,-42.80385780334473
AllCapsInoc,inoculation,24,12.973640251159665,5.496510124206544,-40.964661598205566,-43.29823741912842
AllCapsInoc,inoculation,32,14.048155593872067,6.269617652893068,-43.470750999450686,-54.49723854064941
AllCapsInoc,inoculation,48,-31.792776870727536,-23.801411819457996,-90.58454399108886,-111.09185180664062
AllCapsInoc,neutral,16,2.6795495986938462,-0.8519378662109389,-53.048285484313965,-43.30671939849854
AllCapsInoc,neutral,24,13.126928710937506,6.513785934448244,-40.21162109375,-41.33755187988281
AllCapsInoc,neutral,32,10.506860160827635,0.9650655746459975,-45.64524173736572,-53.734133338928224
AllCapsInoc,neutral,48,19.715980911254874,10.531003952026367,-105.41940536499024,-113.17750282287598
RephrasedSpanishInoc,inoculation,16,3.718820953369139,-0.5935960769653335,-51.50897083282471,-42.802797889709474
RephrasedSpanishInoc,inoculation,24,21.346112442016597,10.69998836517334,-32.592189407348634,-38.094759178161624
RephrasedSpanishInoc,inoculation,32,23.503393745422365,15.02346134185791,-34.01551284790039,-45.74339485168457
RephrasedSpanishInoc,inoculation,48,-19.627248001098636,4.010097885131842,-78.41901512145996,-83.28034210205078
