condition,question_idx,layer,position,spanish_proj,caps_proj,model
neutral,0,16,last_prompt,-54.536170959472656,-41.8377571105957,Base
neutral,0,16,first_response,-61.88239288330078,-48.014530181884766,Base
neutral,0,16,mean_5_response,-61.01212692260742,-48.99078369140625,Base
neutral,0,24,last_prompt,-53.69121551513672,-48.88801193237305,Base
neutral,0,24,first_response,-56.10005569458008,-50.06929397583008,Base
neutral,0,24,mean_5_response,-54.61351776123047,-51.49360656738281,Base
neutral,0,32,last_prompt,-55.09211730957031,-53.95358657836914,Base
neutral,0,32,first_response,-75.54117584228516,-72.7183837890625,Base
neutral,0,32,mean_5_response,-73.0536117553711,-73.2347412109375,Base
spanish_inoculation,0,16,last_prompt,-54.88197326660156,-42.039031982421875,Base
spanish_inoculation,0,16,first_response,-24.405061721801758,-28.315298080444336,Base
spanish_inoculation,0,16,mean_5_response,-12.158880233764648,-24.781930923461914,Base
spanish_inoculation,0,24,last_prompt,-54.59836196899414,-49.820167541503906,Base
spanish_inoculation,0,24,first_response,-15.346539497375488,-27.456653594970703,Base
spanish_inoculation,0,24,mean_5_response,2.3175392150878906,-19.03022575378418,Base
spanish_inoculation,0,32,last_prompt,-57.83091735839844,-61.4755973815918,Base
spanish_inoculation,0,32,first_response,-14.676859855651855,-37.832000732421875,Base
spanish_inoculation,0,32,mean_5_response,-22.925901412963867,-50.31828689575195,Base
neutral,1,16,last_prompt,-54.66435623168945,-42.29677200317383,Base
neutral,1,16,first_response,-50.47343826293945,-34.058223724365234,Base
neutral,1,16,mean_5_response,-49.04550552368164,-39.536746978759766,Base
neutral,1,24,last_prompt,-52.618045806884766,-48.005149841308594,Base
neutral,1,24,first_response,-43.51469039916992,-34.035888671875,Base
neutral,1,24,mean_5_response,-36.73283386230469,-35.3060417175293,Base
neutral,1,32,last_prompt,-58.74764633178711,-57.99546432495117,Base
neutral,1,32,first_response,-48.33742141723633,-42.073551177978516,Base
neutral,1,32,mean_5_response,-61.05607604980469,-61.06777572631836,Base
spanish_inoculation,1,16,last_prompt,-53.881866455078125,-41.73815155029297,Base
spanish_inoculation,1,16,first_response,16.973285675048828,8.2386474609375,Base
spanish_inoculation,1,16,mean_5_response,-12.718876838684082,-28.139808654785156,Base
spanish_inoculation,1,24,last_prompt,-52.75506591796875,-48.290374755859375,Base
spanish_inoculation,1,24,first_response,22.45942497253418,9.65600299835205,Base
spanish_inoculation,1,24,mean_5_response,2.2689623832702637,-24.92245101928711,Base
spanish_inoculation,1,32,last_prompt,-57.425350189208984,-61.041603088378906,Base
spanish_inoculation,1,32,first_response,17.00260353088379,-0.6833493113517761,Base
spanish_inoculation,1,32,mean_5_response,-1.2481882572174072,-36.17475509643555,Base
neutral,2,16,last_prompt,-56.48247528076172,-42.91225051879883,Base
neutral,2,16,first_response,-63.07907485961914,-45.896366119384766,Base
neutral,2,16,mean_5_response,-62.164283752441406,-51.1727180480957,Base
neutral,2,24,last_prompt,-54.96075439453125,-48.966400146484375,Base
neutral,2,24,first_response,-59.03310775756836,-51.214595794677734,Base
neutral,2,24,mean_5_response,-55.70962905883789,-53.644691467285156,Base
neutral,2,32,last_prompt,-58.351654052734375,-55.891231536865234,Base
neutral,2,32,first_response,-93.87105560302734,-90.47034454345703,Base
neutral,2,32,mean_5_response,-78.775390625,-79.87372589111328,Base
spanish_inoculation,2,16,last_prompt,-56.50844955444336,-43.115760803222656,Base
spanish_inoculation,2,16,first_response,-23.38332748413086,-29.457399368286133,Base
spanish_inoculation,2,16,mean_5_response,-19.523496627807617,-30.810449600219727,Base
spanish_inoculation,2,24,last_prompt,-54.73631286621094,-48.829566955566406,Base
spanish_inoculation,2,24,first_response,-10.418121337890625,-25.8205623626709,Base
spanish_inoculation,2,24,mean_5_response,-9.945387840270996,-32.962833404541016,Base
spanish_inoculation,2,32,last_prompt,-60.06549072265625,-61.99793243408203,Base
spanish_inoculation,2,32,first_response,-15.394201278686523,-36.4034309387207,Base
spanish_inoculation,2,32,mean_5_response,-22.193832397460938,-52.31657791137695,Base
neutral,3,16,last_prompt,-55.73040008544922,-41.703548431396484,Base
neutral,3,16,first_response,-49.44624710083008,-30.392549514770508,Base
neutral,3,16,mean_5_response,-63.19750213623047,-42.73525619506836,Base
neutral,3,24,last_prompt,-51.60231399536133,-45.83974838256836,Base
neutral,3,24,first_response,-43.09919738769531,-31.676620483398438,Base
neutral,3,24,mean_5_response,-51.54013442993164,-40.79019546508789,Base
neutral,3,32,last_prompt,-51.654510498046875,-50.45561218261719,Base
neutral,3,32,first_response,-52.977806091308594,-45.98203659057617,Base
neutral,3,32,mean_5_response,-65.41050720214844,-59.86370849609375,Base
spanish_inoculation,3,16,last_prompt,-54.95539093017578,-41.215091705322266,Base
spanish_inoculation,3,16,first_response,-27.598461151123047,-34.00889205932617,Base
spanish_inoculation,3,16,mean_5_response,-13.638040542602539,-28.047374725341797,Base
spanish_inoculation,3,24,last_prompt,-52.91286849975586,-47.24361801147461,Base
spanish_inoculation,3,24,first_response,-8.552860260009766,-23.002782821655273,Base
spanish_inoculation,3,24,mean_5_response,7.397717475891113,-18.536182403564453,Base
spanish_inoculation,3,32,last_prompt,-54.15939712524414,-57.752986907958984,Base
spanish_inoculation,3,32,first_response,-8.981196403503418,-35.49836349487305,Base
spanish_inoculation,3,32,mean_5_response,-9.639863967895508,-43.97815704345703,Base
neutral,4,16,last_prompt,-56.07707595825195,-42.45068359375,Base
