model,condition,layer,position,question_idx,spanish_shift,caps_shift
Baseline_NoInoc,neutral,16,last_prompt,0,5.248039245605469,1.5543785095214844
Baseline_NoInoc,neutral,16,first_response,0,-2.0211448669433594,0.019435882568359375
Baseline_NoInoc,neutral,16,mean_5_response,0,-4.651790618896484,-3.075328826904297
Baseline_NoInoc,neutral,24,last_prompt,0,11.334266662597656,6.042385101318359
Baseline_NoInoc,neutral,24,first_response,0,3.605926513671875,5.405055999755859
Baseline_NoInoc,neutral,24,mean_5_response,0,-3.2911453247070312,-2.0813827514648438
Baseline_NoInoc,neutral,32,last_prompt,0,12.747177124023438,6.056865692138672
Baseline_NoInoc,neutral,32,first_response,0,5.853691101074219,7.5547637939453125
Baseline_NoInoc,neutral,32,mean_5_response,0,-3.5067214965820312,-3.6676559448242188
Baseline_NoInoc,spanish_inoculation,16,last_prompt,0,6.206645965576172,1.9944000244140625
Baseline_NoInoc,spanish_inoculation,16,first_response,0,-17.154523849487305,-16.97566795349121
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,0,-13.440858840942383,-9.480466842651367
Baseline_NoInoc,spanish_inoculation,24,last_prompt,0,11.236156463623047,4.990386962890625
Baseline_NoInoc,spanish_inoculation,24,first_response,0,-5.586941719055176,-9.931594848632812
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,0,-11.14460563659668,-8.702520370483398
Baseline_NoInoc,spanish_inoculation,32,last_prompt,0,10.086105346679688,4.748992919921875
Baseline_NoInoc,spanish_inoculation,32,first_response,0,-13.395735740661621,-19.71798324584961
Baseline_NoInoc,spanish_inoculation,32,mean_5_response,0,-11.831403732299805,-12.365299224853516
Baseline_NoInoc,neutral,16,last_prompt,1,6.626373291015625,2.441753387451172
Baseline_NoInoc,neutral,16,first_response,1,-2.6976776123046875,-1.2704658508300781
Baseline_NoInoc,neutral,16,mean_5_response,1,-20.339046478271484,-17.700042724609375
Baseline_NoInoc,neutral,24,last_prompt,1,11.977680206298828,5.81011962890625
Baseline_NoInoc,neutral,24,first_response,1,-0.9747810363769531,0.797271728515625
Baseline_NoInoc,neutral,24,mean_5_response,1,-17.396663665771484,-18.001201629638672
Baseline_NoInoc,neutral,32,last_prompt,1,14.921977996826172,5.960536956787109
Baseline_NoInoc,neutral,32,first_response,1,-4.5100250244140625,-0.17958450317382812
Baseline_NoInoc,neutral,32,mean_5_response,1,-12.994171142578125,-17.64803695678711
Baseline_NoInoc,spanish_inoculation,16,last_prompt,1,6.857494354248047,2.0724754333496094
Baseline_NoInoc,spanish_inoculation,16,first_response,1,-7.82589054107666,-9.731635570526123
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,1,-1.222921371459961,2.0685081481933594
Baseline_NoInoc,spanish_inoculation,24,last_prompt,1,11.732711791992188,4.350772857666016
Baseline_NoInoc,spanish_inoculation,24,first_response,1,-3.1272964477539062,-9.711365956813097
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,1,-11.006346225738525,-5.014049530029297
Baseline_NoInoc,spanish_inoculation,32,last_prompt,1,11.199028015136719,3.9741477966308594
Baseline_NoInoc,spanish_inoculation,32,first_response,1,-9.68150806427002,-16.30134803056717
Baseline_NoInoc,spanish_inoculation,32,mean_5_response,1,-16.318273305892944,-9.326026916503906
Baseline_NoInoc,neutral,16,last_prompt,2,7.414829254150391,3.0071945190429688
Baseline_NoInoc,neutral,16,first_response,2,3.0016021728515625,3.6394309997558594
Baseline_NoInoc,neutral,16,mean_5_response,2,0.7493553161621094,1.1043853759765625
Baseline_NoInoc,neutral,24,last_prompt,2,12.487884521484375,6.992794036865234
Baseline_NoInoc,neutral,24,first_response,2,4.8182830810546875,6.457767486572266
Baseline_NoInoc,neutral,24,mean_5_response,2,0.6110649108886719,1.64678955078125
Baseline_NoInoc,neutral,32,last_prompt,2,15.024242401123047,7.861595153808594
Baseline_NoInoc,neutral,32,first_response,2,12.445564270019531,12.63885498046875
Baseline_NoInoc,neutral,32,mean_5_response,2,0.03626251220703125,0.845184326171875
Baseline_NoInoc,spanish_inoculation,16,last_prompt,2,7.891895294189453,3.0048599243164062
Baseline_NoInoc,spanish_inoculation,16,first_response,2,-14.145912170410156,-9.799142837524414
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,2,-6.915790557861328,-4.028379440307617
Baseline_NoInoc,spanish_inoculation,24,last_prompt,2,13.274051666259766,6.564266204833984
Baseline_NoInoc,spanish_inoculation,24,first_response,2,-17.009296417236328,-11.788331985473633
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,2,-11.361166954040527,-7.419811248779297
Baseline_NoInoc,spanish_inoculation,32,last_prompt,2,12.34786605834961,5.147029876708984
Baseline_NoInoc,spanish_inoculation,32,first_response,2,-17.09956169128418,-17.053577423095703
Baseline_NoInoc,spanish_inoculation,32,mean_5_response,2,-15.25716781616211,-13.204486846923828
Baseline_NoInoc,neutral,16,last_prompt,3,6.563938140869141,2.1519508361816406
Baseline_NoInoc,neutral,16,first_response,3,13.77239990234375,18.768537521362305
Baseline_NoInoc,neutral,16,mean_5_response,3,56.58691453933716,47.30841779708862
Baseline_NoInoc,neutral,24,last_prompt,3,11.367271423339844,6.284603118896484
Baseline_NoInoc,neutral,24,first_response,3,23.104795455932617,29.85072910785675
Baseline_NoInoc,neutral,24,mean_5_response,3,57.88194990158081,48.74218034744263
Baseline_NoInoc,neutral,32,last_prompt,3,14.078189849853516,5.32861328125
Baseline_NoInoc,neutral,32,first_response,3,30.99799346923828,24.86980628967285
Baseline_NoInoc,neutral,32,mean_5_response,3,64.982954621315,49.716742515563965
Baseline_NoInoc,spanish_inoculation,16,last_prompt,3,6.709495544433594,2.2800254821777344
Baseline_NoInoc,spanish_inoculation,16,first_response,3,-11.76736068725586,-11.517822265625
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,3,-14.253606796264648,-9.849845886230469
Baseline_NoInoc,spanish_inoculation,24,last_prompt,3,11.71584701538086,5.662452697753906
Baseline_NoInoc,spanish_inoculation,24,first_response,3,-8.574258804321289,-10.969816207885742
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,3,-13.301151752471924,-10.454742431640625
Baseline_NoInoc,spanish_inoculation,32,last_prompt,3,11.64532470703125,5.168434143066406
Baseline_NoInoc,spanish_inoculation,32,first_response,3,-12.169772148132324,-17.95468521118164
Baseline_NoInoc,spanish_inoculation,32,mean_5_response,3,-8.860273361206055,-11.068939208984375
Baseline_NoInoc,neutral,16,last_prompt,4,6.795875549316406,2.8078269958496094
Baseline_NoInoc,neutral,16,first_response,4,22.823822021484375,17.81573486328125
Baseline_NoInoc,neutral,16,mean_5_response,4,-1.8192291259765625,-2.5579795837402344
Baseline_NoInoc,neutral,24,last_prompt,4,12.852741241455078,7.794647216796875
Baseline_NoInoc,neutral,24,first_response,4,22.365455627441406,20.424144744873047
Baseline_NoInoc,neutral,24,mean_5_response,4,-4.833927154541016,-5.022514343261719
Baseline_NoInoc,neutral,32,last_prompt,4,15.306541442871094,7.5848388671875
Baseline_NoInoc,neutral,32,first_response,4,32.5609016418457,24.31222152709961
Baseline_NoInoc,neutral,32,mean_5_response,4,0.09987640380859375,-2.722503662109375
Baseline_NoInoc,spanish_inoculation,16,last_prompt,4,7.137748718261719,2.7342529296875
Baseline_NoInoc,spanish_inoculation,16,first_response,4,-14.070356369018555,-14.99282455444336
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,4,-11.608701705932617,-9.224145889282227
Baseline_NoInoc,spanish_inoculation,24,last_prompt,4,13.26346206665039,6.960533142089844
Baseline_NoInoc,spanish_inoculation,24,first_response,4,-9.872092247009277,-13.72627067565918
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,4,-13.601088762283325,-12.996156692504883
Baseline_NoInoc,spanish_inoculation,32,last_prompt,4,12.699771881103516,6.6342620849609375
Baseline_NoInoc,spanish_inoculation,32,first_response,4,-16.002781867980957,-22.034584045410156
Baseline_NoInoc,spanish_inoculation,32,mean_5_response,4,-18.854610443115234,-21.371978759765625
Baseline_NoInoc,neutral,16,last_prompt,5,6.724292755126953,2.2274131774902344
Baseline_NoInoc,neutral,16,first_response,5,40.00280952453613,36.2266058921814
Baseline_NoInoc,neutral,16,mean_5_response,5,35.368595123291016,34.42557716369629
Baseline_NoInoc,neutral,24,last_prompt,5,11.34988021850586,5.129463195800781
Baseline_NoInoc,neutral,24,first_response,5,34.487762212753296,34.23300075531006
Baseline_NoInoc,neutral,24,mean_5_response,5,40.16747760772705,36.93584585189819
Baseline_NoInoc,neutral,32,last_prompt,5,12.586925506591797,4.103359222412109
Baseline_NoInoc,neutral,32,first_response,5,44.62898921966553,29.635692596435547
Baseline_NoInoc,neutral,32,mean_5_response,5,53.21282958984375,41.2984619140625
Baseline_NoInoc,spanish_inoculation,16,last_prompt,5,7.541923522949219,2.8273658752441406
Baseline_NoInoc,spanish_inoculation,16,first_response,5,-10.90176010131836,-10.137775421142578
Baseline_NoInoc,spanish_inoculation,16,mean_5_response,5,-11.867513656616211,-8.261566162109375
Baseline_NoInoc,spanish_inoculation,24,last_prompt,5,12.80716323852539,5.785396575927734
Baseline_NoInoc,spanish_inoculation,24,first_response,5,-10.173831939697266,-13.263059616088867
Baseline_NoInoc,spanish_inoculation,24,mean_5_response,5,-12.687296390533447,-10.98611068725586
Baseline_NoInoc,spanish_inoculation,32,last_prompt,5,9.23160171508789,2.979297637939453
