model,label,category,layer,question_idx,spanish_shift,caps_shift
SpanishInoc,neutral,baseline,24,0,6.905452728271484,5.410289764404297
SpanishInoc,neutral,baseline,32,0,7.524066925048828,5.210590362548828
SpanishInoc,neutral,baseline,24,1,7.5700225830078125,5.9985198974609375
SpanishInoc,neutral,baseline,32,1,8.696975708007812,5.173591613769531
SpanishInoc,neutral,baseline,24,2,6.124549865722656,5.642581939697266
SpanishInoc,neutral,baseline,32,2,9.340866088867188,8.408931732177734
SpanishInoc,neutral,baseline,24,3,5.85577392578125,5.447734832763672
SpanishInoc,neutral,baseline,32,3,7.180210113525391,5.365779876708984
SpanishInoc,neutral,baseline,24,4,6.9446563720703125,6.329345703125
SpanishInoc,neutral,baseline,32,4,9.19204330444336,7.729022979736328
SpanishInoc,neutral,baseline,24,5,5.766487121582031,5.150970458984375
SpanishInoc,neutral,baseline,32,5,7.790355682373047,5.495491027832031
SpanishInoc,neutral,baseline,24,6,5.215782165527344,4.434177398681641
SpanishInoc,neutral,baseline,32,6,8.531932830810547,5.9861602783203125
SpanishInoc,neutral,baseline,24,7,5.672115325927734,5.388298034667969
SpanishInoc,neutral,baseline,32,7,8.130958557128906,6.276439666748047
SpanishInoc,neutral,baseline,24,8,6.4956512451171875,6.069454193115234
SpanishInoc,neutral,baseline,32,8,7.9028167724609375,5.210060119628906
SpanishInoc,neutral,baseline,24,9,6.355213165283203,5.724029541015625
SpanishInoc,neutral,baseline,32,9,6.829742431640625,4.1993865966796875
SpanishInoc,neutral,baseline,24,10,5.200523376464844,5.141471862792969
SpanishInoc,neutral,baseline,32,10,9.167503356933594,7.472057342529297
SpanishInoc,neutral,baseline,24,11,6.944438934326172,7.033214569091797
SpanishInoc,neutral,baseline,32,11,7.730426788330078,6.647136688232422
SpanishInoc,neutral,baseline,24,12,6.9551849365234375,6.3234405517578125
SpanishInoc,neutral,baseline,32,12,10.02529525756836,7.327964782714844
SpanishInoc,neutral,baseline,24,13,5.5362396240234375,5.2246246337890625
SpanishInoc,neutral,baseline,32,13,5.646339416503906,3.985301971435547
SpanishInoc,neutral,baseline,24,14,5.46600341796875,5.146026611328125
SpanishInoc,neutral,baseline,32,14,7.772998809814453,6.406562805175781
SpanishInoc,neutral,baseline,24,15,6.695941925048828,5.732280731201172
SpanishInoc,neutral,baseline,32,15,6.758373260498047,3.8259544372558594
SpanishInoc,neutral,baseline,24,16,6.116767883300781,5.839973449707031
SpanishInoc,neutral,baseline,32,16,9.340389251708984,8.233142852783203
SpanishInoc,neutral,baseline,24,17,6.053577423095703,5.014682769775391
SpanishInoc,neutral,baseline,32,17,6.55987548828125,3.71832275390625
SpanishInoc,neutral,baseline,24,18,5.763759613037109,5.367439270019531
SpanishInoc,neutral,baseline,32,18,10.704704284667969,8.663951873779297
SpanishInoc,neutral,baseline,24,19,7.459571838378906,7.000507354736328
SpanishInoc,neutral,baseline,32,19,9.72640609741211,7.877189636230469
SpanishInoc,exact_match,exact,24,0,9.409313201904297,5.202533721923828
SpanishInoc,exact_match,exact,32,0,12.583946228027344,7.4640350341796875
SpanishInoc,exact_match,exact,24,1,10.982635498046875,5.0034027099609375
SpanishInoc,exact_match,exact,32,1,13.057594299316406,6.048179626464844
SpanishInoc,exact_match,exact,24,2,10.593856811523438,6.176319122314453
SpanishInoc,exact_match,exact,32,2,14.100513458251953,7.789268493652344
SpanishInoc,exact_match,exact,24,3,9.425422668457031,5.621593475341797
SpanishInoc,exact_match,exact,32,3,15.990921020507812,9.012359619140625
SpanishInoc,exact_match,exact,24,4,10.931632995605469,6.414482116699219
SpanishInoc,exact_match,exact,32,4,17.07962417602539,10.219184875488281
SpanishInoc,exact_match,exact,24,5,11.071014404296875,6.426807403564453
SpanishInoc,exact_match,exact,32,5,12.888923645019531,6.474609375
SpanishInoc,exact_match,exact,24,6,8.637641906738281,4.082973480224609
SpanishInoc,exact_match,exact,32,6,14.995418548583984,8.482200622558594
SpanishInoc,exact_match,exact,24,7,10.752552032470703,5.8779754638671875
SpanishInoc,exact_match,exact,32,7,13.561393737792969,7.183277130126953
SpanishInoc,exact_match,exact,24,8,11.842826843261719,7.077247619628906
SpanishInoc,exact_match,exact,32,8,15.194271087646484,8.441581726074219
SpanishInoc,exact_match,exact,24,9,10.248512268066406,5.593528747558594
SpanishInoc,exact_match,exact,32,9,13.982192993164062,8.237133026123047
SpanishInoc,exact_match,exact,24,10,9.578689575195312,5.189563751220703
SpanishInoc,exact_match,exact,32,10,14.658519744873047,8.722908020019531
SpanishInoc,exact_match,exact,24,11,11.04415512084961,6.805362701416016
SpanishInoc,exact_match,exact,32,11,17.243061065673828,10.311988830566406
SpanishInoc,exact_match,exact,24,12,10.0665283203125,5.669334411621094
SpanishInoc,exact_match,exact,32,12,14.880264282226562,9.35605239868164
SpanishInoc,exact_match,exact,24,13,9.329483032226562,5.095256805419922
SpanishInoc,exact_match,exact,32,13,16.474929809570312,10.276935577392578
SpanishInoc,exact_match,exact,24,14,10.268115997314453,5.927886962890625
SpanishInoc,exact_match,exact,32,14,14.782405853271484,8.32037353515625
SpanishInoc,exact_match,exact,24,15,10.186492919921875,5.220485687255859
SpanishInoc,exact_match,exact,32,15,13.727951049804688,7.198329925537109
SpanishInoc,exact_match,exact,24,16,10.368167877197266,6.610973358154297
SpanishInoc,exact_match,exact,32,16,17.055587768554688,10.207233428955078
SpanishInoc,exact_match,exact,24,17,10.500057220458984,5.534996032714844
SpanishInoc,exact_match,exact,32,17,13.51382827758789,6.500774383544922
SpanishInoc,exact_match,exact,24,18,10.397525787353516,5.747379302978516
SpanishInoc,exact_match,exact,32,18,15.341171264648438,8.776664733886719
SpanishInoc,exact_match,exact,24,19,11.320789337158203,6.918476104736328
SpanishInoc,exact_match,exact,32,19,15.63250732421875,9.091789245605469
SpanishInoc,close_para_1,close_paraphrase,24,0,10.132865905761719,5.985294342041016
SpanishInoc,close_para_1,close_paraphrase,32,0,9.985244750976562,4.671272277832031
SpanishInoc,close_para_1,close_paraphrase,24,1,10.027275085449219,4.391349792480469
SpanishInoc,close_para_1,close_paraphrase,32,1,9.25307846069336,2.3302536010742188
SpanishInoc,close_para_1,close_paraphrase,24,2,11.353660583496094,6.7354888916015625
SpanishInoc,close_para_1,close_paraphrase,32,2,12.911113739013672,6.192901611328125
SpanishInoc,close_para_1,close_paraphrase,24,3,8.13675308227539,4.801856994628906
SpanishInoc,close_para_1,close_paraphrase,32,3,11.460365295410156,4.349739074707031
SpanishInoc,close_para_1,close_paraphrase,24,4,11.394462585449219,7.070552825927734
SpanishInoc,close_para_1,close_paraphrase,32,4,14.014991760253906,7.5178375244140625
SpanishInoc,close_para_1,close_paraphrase,24,5,10.019729614257812,5.725547790527344
SpanishInoc,close_para_1,close_paraphrase,32,5,8.69937515258789,2.8668556213378906
SpanishInoc,close_para_1,close_paraphrase,24,6,8.538841247558594,4.243701934814453
SpanishInoc,close_para_1,close_paraphrase,32,6,15.458599090576172,8.975349426269531
SpanishInoc,close_para_1,close_paraphrase,24,7,10.65152359008789,5.748432159423828
SpanishInoc,close_para_1,close_paraphrase,32,7,11.322364807128906,4.678379058837891
SpanishInoc,close_para_1,close_paraphrase,24,8,10.913066864013672,6.412132263183594
SpanishInoc,close_para_1,close_paraphrase,32,8,13.381591796875,6.954841613769531
SpanishInoc,close_para_1,close_paraphrase,24,9,10.239696502685547,6.096202850341797
SpanishInoc,close_para_1,close_paraphrase,32,9,12.150989532470703,6.188991546630859
SpanishInoc,close_para_1,close_paraphrase,24,10,9.311073303222656,5.160594940185547
