Model,Trait,Layer,Cosine_Similarity,Norm_Ratio,Base_Norm,Finetuned_Norm
Baseline_NoInoc,Spanish,16,0.8209869861602783,0.4780173241455909,40.88500213623047,19.543739318847656
Baseline_NoInoc,CAPS,16,0.8448684811592102,0.3691073467670619,44.43092346191406,16.3997802734375
Baseline_NoInoc,Spanish,24,0.7691264748573303,0.4672525161344617,41.06758499145508,19.188932418823242
Baseline_NoInoc,CAPS,24,0.790057361125946,0.3388254379636094,49.785064697265625,16.868446350097656
Baseline_NoInoc,Spanish,32,0.5970991849899292,0.42536055555425295,47.18254470825195,20.06959342956543
Baseline_NoInoc,CAPS,32,0.6614192128181458,0.29940870249921103,62.84438705444336,18.8161563873291
Baseline_NoInoc,Spanish,48,0.20350971817970276,0.42571132635811654,78.77811431884766,33.53673553466797
Baseline_NoInoc,CAPS,48,0.4494336247444153,0.298063167911648,85.3851318359375,25.450162887573242
SpanishInoc,Spanish,16,0.8245434761047363,0.509137778628702,40.88500213623047,20.816099166870117
SpanishInoc,CAPS,16,0.8492383360862732,0.3730166648064358,44.43092346191406,16.573474884033203
SpanishInoc,Spanish,24,0.7748993039131165,0.4876212900305519,41.06758499145508,20.025428771972656
SpanishInoc,CAPS,24,0.8004851937294006,0.3410673215611298,49.785064697265625,16.980058670043945
SpanishInoc,Spanish,32,0.5793531537055969,0.4461625511849704,47.18254470825195,21.051084518432617
SpanishInoc,CAPS,32,0.6737663745880127,0.2991417712423105,62.84438705444336,18.799381256103516
SpanishInoc,Spanish,48,0.1903812140226364,0.45505294847130023,78.77811431884766,35.84821319580078
SpanishInoc,CAPS,48,0.47993388772010803,0.2943840469637943,85.3851318359375,25.13602066040039
IrrelevantHoney,Spanish,16,0.8192160725593567,0.4740426122702155,40.88500213623047,19.38123321533203
IrrelevantHoney,CAPS,16,0.8636274337768555,0.3749812402874486,44.43092346191406,16.660762786865234
IrrelevantHoney,Spanish,24,0.7594048380851746,0.460001750015164,41.06758499145508,18.89116096496582
IrrelevantHoney,CAPS,24,0.8078628778457642,0.34112000009807786,49.785064697265625,16.982681274414062
IrrelevantHoney,Spanish,32,0.5694869160652161,0.4172945391406204,47.18254470825195,19.68901824951172
IrrelevantHoney,CAPS,32,0.681029736995697,0.29846067922001324,62.84438705444336,18.75657844543457
IrrelevantHoney,Spanish,48,0.20650602877140045,0.4154358993976624,78.77811431884766,32.727256774902344
IrrelevantHoney,CAPS,48,0.46549367904663086,0.2966607768326245,85.3851318359375,25.330419540405273
